airfoil,alpha,time,Cl,Cd,Cm,ClCd
NACA2412,-4,265.0,-4.7728239e-08,4.6245313e-06,1.8055006e-08,-0.01032066514502778
NACA2412,-3,251.0,-3.565422e-08,4.6271628e-06,1.7119591e-08,-0.007705417237534845
NACA2412,-2,239.0,-2.3651267e-08,4.6296102e-06,1.6188706e-08,-0.005108695112171647
NACA2412,-1,227.0,-1.1694163e-08,4.6318209e-06,1.5260374e-08,-0.002524744210208991
NACA2412,0,241.0,2.3991493e-10,4.6337368e-06,1.433311e-08,5.177569213685162e-05
NACA2412,1,227.0,1.2156585e-08,4.6351571e-06,1.340709e-08,0.002622691041043679
NACA2412,2,239.0,2.4078819e-08,4.6362358e-06,1.2480765e-08,0.0051936139658815455
NACA2412,3,251.0,3.6036099e-08,4.6370139e-06,1.1551941e-08,0.007771401979191825
NACA2412,4,265.0,4.8057893e-08,4.6375504e-06,1.061787e-08,0.01036277535657618
NACA2412,5,281.0,6.0174423e-08,4.6380077e-06,9.676257e-09,0.012974196442149073
NACA2412,6,303.0,7.2415884e-08,4.6382912e-06,8.7248354e-09,0.015612621303293762
NACA2412,7,308.0,8.4818447e-08,4.638476e-06,7.7612598e-09,0.018285843669343122
NACA2412,8,328.0,9.7418943e-08,4.6387178e-06,6.7831783e-09,0.0210012652634312
NACA2412,9,350.0,1.1026065e-07,4.6392802e-06,5.7881357e-09,0.02376675804147376
NACA2412,10,373.0,1.2337895e-07,4.6401069e-06,4.7733538e-09,0.026589678354177575
NACA2412,11,410.0,1.3679115e-07,4.6413658e-06,3.7373477e-09,0.029472176056453043
NACA2412,12,452.0,1.5049205e-07,4.6433427e-06,2.6811101e-09,0.0324102827904561
NACA2412,13,498.0,1.6444184e-07,4.6460012e-06,1.6093654e-09,0.0353942741125422
NACA2412,14,541.0,1.7854956e-07,4.649404e-06,5.3010197e-10,0.038402676988276346
NACA2412,15,569.0,1.926557e-07,4.6533497e-06,-5.4487022e-10,0.04140150911073801
NACA2412,16,619.0,2.065367e-07,4.6570861e-06,-1.6006605e-09,0.04434891165099997
NACA2412,17,747.0,2.2008085e-07,4.6595174e-06,-2.6352819e-09,0.04723254172202469
NACA2412,18,870.0,2.3342349e-07,4.660026e-06,-3.6612679e-09,0.050090598206962794
E168,-4,265.0,-4.5775218e-08,4.3466336e-06,3.2967975e-09,-0.010531188550146026
E168,-3,251.0,-3.4257248e-08,4.3476477e-06,2.4677053e-09,-0.007879490327608651
E168,-2,239.0,-2.2806012e-08,4.348425e-06,1.6431005e-09,-0.005244660308042567
E168,-1,227.0,-1.1396213e-08,4.3489541e-06,8.2115064e-10,-0.0026204491328156347
E168,0,246.0,3.0138019e-13,4.3491942e-06,-2.9073143e-13,6.9295638718547e-08
E168,1,227.0,1.1396852e-08,4.3489542e-06,-8.2173158e-10,0.0026205960044371128
E168,2,238.0,2.2806776e-08,4.3484257e-06,-1.6436891e-09,0.005244835159538312
E168,3,251.0,3.4258107e-08,4.3476483e-06,-2.4683024e-09,0.007879686818273685
E168,4,265.0,4.5776206e-08,4.346634e-06,-3.2974038e-09,0.010531414883332712
E168,5,281.0,5.7385409e-08,4.3454366e-06,-4.1328398e-09,0.013205901795920807
E168,6,303.0,6.9114405e-08,4.3440924e-06,-4.9766128e-09,0.015909975809906808
E168,7,308.0,8.0994024e-08,4.3426362e-06,-5.8310167e-09,0.01865088860079967
E168,8,328.0,9.3054716e-08,4.341204e-06,-6.6978978e-09,0.02143523225354072
E168,9,346.0,1.0533242e-07,4.3400465e-06,-7.5796249e-09,0.024269882822684042
E168,10,374.0,1.1786223e-07,4.3394611e-06,-8.4785697e-09,0.027160568394080088
E168,11,409.0,1.3065987e-07,4.3394588e-06,-9.3963348e-09,0.030109715524894488
E168,12,452.0,1.4370687e-07,4.3401001e-06,-1.0331242e-08,0.03311141832880767
E168,13,497.0,1.5696333e-07,4.3414854e-06,-1.1279487e-08,0.03615429180068186
E168,14,540.0,1.7034278e-07,4.3436694e-06,-1.2234306e-08,0.039216331703328985
E168,15,568.0,1.8369934e-07,4.3464155e-06,-1.3185035e-08,0.042264560302621774
E168,16,610.0,1.9683768e-07,4.3490446e-06,-1.4118413e-08,0.045259981927984826
E168,17,739.0,2.0963094e-07,4.350517e-06,-1.5027503e-08,0.04818529383978962
E168,18,871.0,2.2224022e-07,4.3502246e-06,-1.5924723e-08,0.05108706801023561
